GlAccount_parentGlAccountId,GlAccount_glAccountId,GlAccount_accountCode,GlAccount_glAccountClassId,GlAccount_glAccountTypeId,GlAccount_glResourceTypeId,GlAccount_accountName,GlAccount_description,GlAccount_postedBalance
230000,239000,239000,CURRENT_LIABILITY,CURRENT_LIABILITY,MONEY,CURRENT PORTION OF LONG-TERM DEBT,,0
200000,240000,240000,LONGTERM_LIABILITY,LONG_TERM_LIABILITY,MONEY,LONG-TERM NOTES PAYABLE,,0
240000,241000,241000,LONGTERM_LIABILITY,LONG_TERM_LIABILITY,MONEY,LONG-TERM OBLIGATION,,0
240000,243000,243000,LONGTERM_LIABILITY,LONG_TERM_LIABILITY,MONEY,LOAN FROM OWNER OR STOCKHOLDER,,0
240000,248000,248000,LONGTERM_LIABILITY,LONG_TERM_LIABILITY,MONEY,OTHER LONG TERM OBLIGATION,,0
,300000,300000,OWNERS_EQUITY,,MONEY,OWNERS EQUITY AND NET WORTH,,0
300000,310000,310000,RETAINED_EARNINGS,OWNERS_EQUITY,MONEY,SURPLUS CAPITAL,,0
300000,320000,320000,RETAINED_EARNINGS,OWNERS_EQUITY,MONEY,SINKING FUND CAPITAL,,0
300000,330000,330000,RETAINED_EARNINGS,OWNERS_EQUITY,MONEY,SURPLUS OR DEFICIT,,0
330000,331000,331000,RETAINED_EARNINGS,OWNERS_EQUITY,MONEY,CF_SURPLUS_DEFICIT,,0
330000,332000,332000,RETAINED_EARNINGS,OWNERS_EQUITY,MONEY,SF_SURPLUS_DEFICIT,,0
,400000,400000,REVENUE,,MONEY,INCOME,,0
400000,401000,401000,REVENUE,,MONEY,MAINTENANCE INCOME,,0
400000,402000,402000,REVENUE,,MONEY,SPORTS INCOME,,0
400000,403000,403000,REVENUE,,MONEY,RENTAL INCOME,,0
400000,404000,404000,REVENUE,,MONEY,ASSETHIRE INCOME,,0
400000,405000,405000,REVENUE,,MONEY,INTEREST INCOME,,0
400000,409000,409000,REVENUE,,MONEY,MISCELLANEOUS SALES,,0
400000,410000,410000,REVENUE,,MONEY,S_INV_HEAD_FEE_ADJ,,0
400000,411000,411000,REVENUE,,MONEY,S_INV_HEAD_FRGT_ADJ,,0
400000,412000,412000,REVENUE,,MONEY,P_INV_HEAD_DSCNT_ADJ,,0
,500000,500000,NON_CASH_EXPENSE,,MONEY,NON CASH EXPENSE,,0
500000,510000,510000,CASH_EXPENSE,,MONEY,INOVICE ADJUSTMENT,,0
500000,517000,517000,NON_CASH_EXPENSE,WRITEOFF,MONEY,NON CASH WRITE OFF,,0
517000,517100,517100,NON_CASH_EXPENSE,ACCTRECV_WRITEOFF,MONEY,ACCOUNTS RECEIVABLE WRITE OFF,,0
517000,517200,517200,NON_CASH_EXPENSE,ACCTPAY_WRITEOFF,MONEY,ACCOUNTS PAYABLE WRITE OFF,,0
517000,517400,517400,NON_CASH_EXPENSE,INTRSTINC_WRITEOFF,MONEY,INTEREST INCOME WRITE OFF,,0
,600000,600000,EXPENSE,,MONEY,EXPENSE,,0
600000,610000,610000,SGA_EXPENSE,,MONEY,MAINTENANCE RECURRING,,0
600000,620000,620000,SGA_EXPENSE,,MONEY,MAINTENANCE NON-RECURRING,,0
600000,630000,630000,SGA_EXPENSE,,MONEY,PROJECTS,,0
610000,611100,611100,SGA_EXPENSE,,MONEY,BLOCKLEVEL SECURITY,,0
610000,611200,611200,SGA_EXPENSE,,MONEY,CENTRAL SECURITY,,0
610000,611300,611300,SGA_EXPENSE,,MONEY,COMMON ELECTRICITY,,0
610000,611400,611400,SGA_EXPENSE,,MONEY,FACILITY MANAGEMENT,,0
610000,611500,611500,SGA_EXPENSE,,MONEY,GARBAGE COLLECTION,,0
610000,611600,611600,SGA_EXPENSE,,MONEY,GENERATOR (DIESEL),,0
610000,611700,611700,SGA_EXPENSE,,MONEY,HOUSEKEEPING CONSUMABLES,,0
610000,611800,611800,SGA_EXPENSE,,MONEY,LIFTS AMC,,0
610000,611900,611900,SGA_EXPENSE,,MONEY,MISCELLANEOUS ,,0
610000,612000,612000,SGA_EXPENSE,,MONEY,PURCHASE OF ELECTRICAL AND PLUBMING SPARES,,0
610000,612100,612100,SGA_EXPENSE,,MONEY,PAYROL,,0
610000,612101,612101,SGA_EXPENSE,,MONEY,PAYROL_EARN_HOURS,,0
610000,612102,612102,SGA_EXPENSE,,MONEY,PAYROL_HRLY_RATE,,0
610000,612103,612103,SGA_EXPENSE,,MONEY,PAYROL_SALARY,,0
610000,612104,612104,SGA_EXPENSE,,MONEY,PAYROL_SALARY_VAC,,0
610000,612105,612105,SGA_EXPENSE,,MONEY,PAYROL_SALARY_SICK,,0
610000,612106,612106,SGA_EXPENSE,,MONEY,PAYROL_BONUS,,0
610000,612107,612107,SGA_EXPENSE,,MONEY,PAYROL_COMMISSION,,0
610000,612200,612200,SGA_EXPENSE,,MONEY,WALKIE TALKIES,,0
610000,612300,612300,SGA_EXPENSE,,MONEY,WATER BILL,,0
620000,621100,621100,SGA_EXPENSE,,MONEY,ELECTRICITY CABLE PURCHASES / REPLACEMENT,,0
620000,621200,621200,SGA_EXPENSE,,MONEY,GENERATOR (SERVICING),,0
620000,621300,621300,SGA_EXPENSE,,MONEY,LANDSCAPING,,0
620000,621400,621400,SGA_EXPENSE,,MONEY,LIGHTING WORK,,0
620000,621500,621500,SGA_EXPENSE,,MONEY,MISCELLANEOUS,,0
620000,621600,621600,SGA_EXPENSE,,MONEY,NEW MOTORS,,0
620000,621700,621700,SGA_EXPENSE,,MONEY,PURCHASE OF ELECTRICAL AND PLUBMING SPARES,,0
620000,621800,621800,SGA_EXPENSE,,MONEY,STP-NEW MOTORS,,0
620000,621900,621900,SGA_EXPENSE,,MONEY,STP-REPAIRS AND EXPENSES,,0
630000,631100,631100,SGA_EXPENSE,,MONEY,EARTH PITS FOR GROUNDING ELECTRICITY,,0
630000,631200,631200,SGA_EXPENSE,,MONEY,ELECTRICAL BILLS -NONSTANDARD,,0
630000,631300,631300,SGA_EXPENSE,,MONEY,FMD CABIN WORK,,0
630000,631400,631400,SGA_EXPENSE,,MONEY,GARDEN BENCHES & DUSTBINS,,0
630000,631500,631500,SGA_EXPENSE,,MONEY,GENERAL BODY MEETING,,0
